Date,City,Daily_Confirmed,Daily_Active,Daily_Recovered,Daily_Deaths,Cumulative_Confirmed,Cumulative_Active,Cumulative_Recovered,Cumulative_Deaths,Region,Event
03/02/2020,Qatif,1,1,0,0,1,1,0,0,Eastern Region,First case of COVID-19
03/04/2020,Qatif,1,1,0,0,2,2,0,0,Eastern Region,Umrah suspension
03/05/2020,Qatif,3,3,0,0,5,5,0,0,Eastern Region,
03/07/2020,Qatif,2,2,0,0,7,7,0,0,Eastern Region,
03/08/2020,Qatif,4,4,0,0,11,11,0,0,Eastern Region,
03/09/2020,Qatif,3,3,0,0,14,14,0,0,Eastern Region,flights suspended to number of countries
03/09/2020,Riyadh,1,1,0,0,1,1,0,0,Riyadh,flights suspended to number of countries
03/10/2020,Dammam,4,4,0,0,4,4,0,0,Eastern Region,
03/10/2020,Mecca,1,1,0,0,1,1,0,0,Makkah,
03/10/2020,Qatif,0,0,0,0,14,14,0,0,Eastern Region,
03/10/2020,Riyadh,0,0,0,0,1,1,0,0,Riyadh,
03/11/2020,Dammam,0,0,0,0,4,4,0,0,Eastern Region,
03/11/2020,Jeddah,1,1,0,0,1,1,0,0,Makkah,
03/11/2020,Mecca,0,0,0,0,1,1,0,0,Makkah,
03/11/2020,Qatif,0,0,0,0,14,14,0,0,Eastern Region,
03/11/2020,Riyadh,0,0,0,0,1,1,0,0,Riyadh,
03/12/2020,Dammam,0,0,0,0,4,4,0,0,Eastern Region,
03/12/2020,Jeddah,0,0,0,0,1,1,0,0,Makkah,
03/12/2020,Mecca,21,21,0,0,22,22,0,0,Makkah,
03/12/2020,Qatif,3,2,1,0,17,16,1,0,Eastern Region,
03/12/2020,Riyadh,0,0,0,0,1,1,0,0,Riyadh,
03/13/2020,Dammam,7,7,0,0,11,11,0,0,Eastern Region,
03/13/2020,Hofuf,1,1,0,0,1,1,0,0,Eastern Region,
03/13/2020,Jeddah,1,1,0,0,2,2,0,0,Makkah,
03/13/2020,Mecca,26,26,0,0,48,48,0,0,Makkah,
03/13/2020,Qatif,3,3,0,0,20,19,1,0,Eastern Region,
03/13/2020,Riyadh,3,3,0,0,4,4,0,0,Riyadh,
03/14/2020,Dammam,0,0,0,0,11,11,0,0,Eastern Region,
03/14/2020,Hofuf,1,1,0,0,2,2,0,0,Eastern Region,
03/14/2020,Jeddah,1,1,0,0,3,3,0,0,Makkah,
03/14/2020,Mecca,0,0,0,0,48,48,0,0,Makkah,
03/14/2020,Qatif,3,2,1,0,23,21,2,0,Eastern Region,
03/14/2020,Riyadh,12,12,0,0,16,16,0,0,Riyadh,
03/15/2020,Dammam,1,0,1,0,12,11,1,0,Eastern Region,International flights suspension for 14 days
03/15/2020,Dhahran,3,3,0,0,3,3,0,0,Eastern Region,International flights suspension for 14 days
03/15/2020,Hofuf,0,0,0,0,2,2,0,0,Eastern Region,International flights suspension for 14 days
03/15/2020,Jeddah,2,2,0,0,5,5,0,0,Makkah,International flights suspension for 14 days
03/15/2020,Mecca,0,0,0,0,48,48,0,0,Makkah,International flights suspension for 14 days
03/15/2020,Qatif,7,7,0,0,30,28,2,0,Eastern Region,International flights suspension for 14 days
03/15/2020,Riyadh,2,2,0,0,18,18,0,0,Riyadh,International flights suspension for 14 days
03/16/2020,Dammam,0,0,0,0,12,11,1,0,Eastern Region,Gov / private suspension 
03/16/2020,Dhahran,1,1,0,0,4,4,0,0,Eastern Region,Gov / private suspension 
03/16/2020,Hofuf,0,0,0,0,2,2,0,0,Eastern Region,Gov / private suspension 
03/16/2020,Jazan,2,2,0,0,2,2,0,0,Jazan,Gov / private suspension 
03/16/2020,Jeddah,5,5,0,0,10,10,0,0,Makkah,Gov / private suspension 
03/16/2020,Mecca,2,2,0,0,50,50,0,0,Makkah,Gov / private suspension 
03/16/2020,Qatif,1,-2,3,0,31,26,5,0,Eastern Region,Gov / private suspension 
03/16/2020,Riyadh,4,4,0,0,22,22,0,0,Riyadh,Gov / private suspension 
03/17/2020,Dammam,0,0,0,0,12,11,1,0,Eastern Region,
03/17/2020,Dhahran,3,3,0,0,7,7,0,0,Eastern Region,
03/17/2020,Hofuf,0,0,0,0,2,2,0,0,Eastern Region,
03/17/2020,Jazan,0,0,0,0,2,2,0,0,Jazan,
03/17/2020,Jeddah,3,3,0,0,13,13,0,0,Makkah,
03/17/2020,Mecca,3,3,0,0,53,53,0,0,Makkah,
03/17/2020,Qatif,10,10,0,0,41,36,5,0,Eastern Region,
03/17/2020,Riyadh,19,19,0,0,41,41,0,0,Riyadh,
03/18/2020,Abha,1,1,0,0,1,1,0,0,Asir,
03/18/2020,Dammam,23,21,2,0,35,32,3,0,Eastern Region,
03/18/2020,Dhahran,0,0,0,0,7,7,0,0,Eastern Region,
03/18/2020,Hofuf,0,0,0,0,2,2,0,0,Eastern Region,
03/18/2020,Jazan,0,0,0,0,2,2,0,0,Jazan,
03/18/2020,Jeddah,13,13,0,0,26,26,0,0,Makkah,
03/18/2020,Mecca,11,11,0,0,64,64,0,0,Makkah,
03/18/2020,Qatif,0,0,0,0,41,36,5,0,Eastern Region,
03/18/2020,Riyadh,19,19,0,0,60,60,0,0,Riyadh,
03/19/2020,Abha,0,0,0,0,1,1,0,0,Asir,
03/19/2020,Dammam,3,3,0,0,38,35,3,0,Eastern Region,
03/19/2020,Dhahran,1,1,0,0,8,8,0,0,Eastern Region,
03/19/2020,Hofuf,2,2,0,0,4,4,0,0,Eastern Region,
03/19/2020,Jazan,0,0,0,0,2,2,0,0,Jazan,
03/19/2020,Jeddah,1,1,0,0,27,27,0,0,Makkah,
03/19/2020,Mecca,3,3,0,0,67,67,0,0,Makkah,
03/19/2020,Muhayil Aseer,1,1,0,0,1,1,0,0,Asir,
03/19/2020,Qatif,4,4,0,0,45,40,5,0,Eastern Region,
03/19/2020,Riyadh,21,21,0,0,81,81,0,0,Riyadh,
03/20/2020,Abha,0,0,0,0,1,1,0,0,Asir,
03/20/2020,Al Bahah,1,1,0,0,1,1,0,0,Al Bahah,
03/20/2020,Bisha,1,1,0,0,1,1,0,0,Asir,
03/20/2020,Dammam,1,1,0,0,39,36,3,0,Eastern Region,
03/20/2020,Dhahran,1,1,0,0,9,9,0,0,Eastern Region,
03/20/2020,Hafar Al Batin,1,1,0,0,1,1,0,0,Eastern Region,
03/20/2020,Hofuf,0,0,0,0,4,4,0,0,Eastern Region,
03/20/2020,Jazan,0,0,0,0,2,2,0,0,Jazan,
03/20/2020,Jeddah,11,11,0,0,38,38,0,0,Makkah,
03/20/2020,Mecca,2,2,0,0,69,69,0,0,Makkah,
03/20/2020,Medina,1,1,0,0,1,1,0,0,Medina,
03/20/2020,Muhayil Aseer,0,0,0,0,1,1,0,0,Asir,
03/20/2020,Qatif,1,1,0,0,46,41,5,0,Eastern Region,
03/20/2020,Riyadh,49,49,0,0,130,130,0,0,Riyadh,
03/20/2020,Tabuk,1,1,0,0,1,1,0,0,Tabuk,
03/21/2020,Abha,0,0,0,0,1,1,0,0,Asir,Domestic flights suspension
03/21/2020,Al Bahah,0,0,0,0,1,1,0,0,Al Bahah,Domestic flights suspension
03/21/2020,Bisha,0,0,0,0,1,1,0,0,Asir,Domestic flights suspension
03/21/2020,Dammam,0,0,0,0,39,36,3,0,Eastern Region,Domestic flights suspension
03/21/2020,Dhahran,1,0,1,0,10,9,1,0,Eastern Region,Domestic flights suspension
03/21/2020,Hafar Al Batin,0,0,0,0,1,1,0,0,Eastern Region,Domestic flights suspension
03/21/2020,Hofuf,2,2,0,0,6,6,0,0,Eastern Region,Domestic flights suspension
